DATA,PRODUTO,PRAÇA,TIPO,UNIDADE,PREÇO
13/07/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
14/07/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
15/07/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
16/07/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
19/07/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
20/07/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
21/07/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
22/07/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 127,50"
23/07/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 127,50"
26/07/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 127,50"
27/07/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
28/07/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
29/07/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
30/07/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
02/08/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
03/08/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
04/08/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 120,00"
05/08/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
06/08/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
09/08/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
10/08/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
11/08/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
12/08/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
13/08/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
16/08/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
17/08/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
18/08/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
19/08/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
20/08/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
23/08/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
24/08/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
25/08/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
26/08/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
27/08/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
30/08/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
31/08/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
01/09/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
02/09/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
03/09/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
06/09/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
08/09/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
09/09/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
10/09/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
13/09/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
14/09/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
15/09/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
16/09/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
17/09/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
20/09/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
21/09/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
22/09/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
23/09/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
24/09/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
27/09/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
28/09/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
29/09/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
30/09/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
01/10/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
04/10/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
05/10/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
06/10/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
07/10/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
08/10/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
13/10/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
14/10/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 150,00"
15/10/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
18/10/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
19/10/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
20/10/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
21/10/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
22/10/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
25/10/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
26/10/2021,Abacate,SALVADOR,(comum),cx 30 kg,sem cotação
27/10/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
28/10/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
29/10/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
03/11/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
04/11/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
05/11/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
08/11/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
09/11/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
10/11/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
11/11/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
12/11/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
16/11/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
17/11/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
18/11/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
19/11/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
20/11/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
22/11/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
23/11/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
24/11/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
25/11/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
26/11/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
29/11/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
30/11/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
01/12/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
02/12/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
03/12/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 225,00"
06/12/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 255,00"
07/12/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 255,00"
09/12/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 255,00"
10/12/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 255,00"
13/12/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 255,00"
14/12/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 270,00"
15/12/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 270,00"
16/12/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 270,00"
17/12/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 270,00"
20/12/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 270,00"
21/12/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 285,00"
22/12/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 285,00"
23/12/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 285,00"
27/12/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 285,00"
28/12/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 255,00"
29/12/2021,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 255,00"
04/01/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 250,00"
05/01/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 250,00"
06/01/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 250,00"
07/01/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 250,00"
08/01/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 250,00"
12/01/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 250,00"
13/01/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 250,00"
14/01/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 250,00"
15/01/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 250,00"
18/01/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 250,00"
19/01/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 200,00"
20/01/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 200,00"
21/01/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 200,00"
22/01/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 200,00"
25/01/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 200,00"
26/01/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 200,00"
27/01/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 200,00"
28/01/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 200,00"
29/01/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 200,00"
01/02/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 200,00"
02/02/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
03/02/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
04/02/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
05/02/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
08/02/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
09/02/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
10/02/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 250,00"
11/02/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 250,00"
16/02/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 250,00"
17/02/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
18/02/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
19/02/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
22/02/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
23/02/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
24/02/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
25/02/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
26/02/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
01/03/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
02/03/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
03/03/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
04/03/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
05/03/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
08/03/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
09/03/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
10/03/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
11/03/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
12/03/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
15/03/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
16/03/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 200,00"
17/03/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 200,00"
18/03/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 200,00"
19/03/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 200,00"
22/03/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 200,00"
23/03/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 200,00"
24/03/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 200,00"
25/03/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 200,00"
26/03/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 200,00"
29/03/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 200,00"
30/03/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 200,00"
31/03/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 200,00"
05/04/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 200,00"
06/04/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 200,00"
07/04/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 200,00"
08/04/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 200,00"
09/04/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 200,00"
12/04/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 200,00"
13/04/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 200,00"
14/04/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
15/04/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
16/04/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
19/04/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
20/04/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
22/04/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
23/04/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
26/04/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
27/04/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
28/04/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
29/04/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
30/04/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
03/05/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
04/05/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
05/05/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
06/05/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
07/05/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
10/05/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
11/05/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
12/05/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
13/05/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
14/05/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
17/05/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
18/05/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
19/05/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
20/05/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
21/05/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
24/05/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
